Date,Real_Rate,Policy_Deviations,Baa_Spread,VIX,Michigan_Sentiment,TR_CAPE_YoY,M2_YoY,Gold_YoY,BankCredit_YoY
1990-01-01,3.78312,0.00137,1.73,17.24,93.0,,,,
1990-02-01,3.89947,0.11772,1.67,24.87,89.5,,,,
1990-03-01,3.80193,0.02018,1.62,21.9,91.3,,,,
1990-04-01,3.93867,0.22868,1.51,22.84,93.9,,,,
1990-05-01,4.00552,0.29553,1.65,18.43,90.6,,,,
1990-06-01,3.5887,-0.1213,1.74,17.09,88.3,,,,
1990-07-01,3.36164,-0.19231,1.73,16.26,88.2,,,,
1990-08-01,3.26737,-0.28658,1.66,21.64,76.4,,,,
1990-09-01,3.34727,-0.20668,1.75,29.58,72.8,,,,
1990-10-01,3.36012,0.21471,2.02,28.06,63.9,,,,
1990-11-01,3.12684,-0.01857,2.23,30.25,66.0,,,,
1990-12-01,2.76085,-0.38456,2.35,22.29,65.5,,,,
1991-01-01,2.48818,-0.46585,2.36,26.62,66.8,-9.358157765801078,3.817733990147776,-5.632695834424939,4.629527868903316
1991-02-01,2.19815,-0.75588,2.22,21.04,70.4,4.154002026342463,3.9412430800201292,-4.058355437665783,4.256921286904514
1991-03-01,2.86655,-0.08748,1.98,20.86,87.7,4.975124378109452,4.131531926898857,-7.586027111574567,4.468694017338448
1991-04-01,2.89075,-0.0973,1.9,17.42,81.8,7.078763708873392,4.0854572713643345,-2.7212754260582783,4.023186988277394
1991-05-01,2.93607,-0.05198,1.79,17.77,78.3,2.9440154440154354,4.449165781415987,-5.229837599779796,3.676591863302625
1991-06-01,3.32071,0.33266,1.68,16.87,82.1,0.3771805752003754,4.300339172915968,-5.524553571428559,3.344580457886992
1991-07-01,3.48355,0.53115,1.62,18.64,82.9,1.3270142180094702,4.081252907427513,-5.5462184873949605,3.0753175142208544
1991-08-01,3.28799,0.33559,1.75,15.47,82.0,13.742842269651234,3.4855027760641644,-7.06299427324788,2.6344928624146613
1991-09-01,3.05481,0.10241,1.86,16.57,83.0,19.20748486516235,3.0817919252750015,-4.079412564590701,2.8436611796252453
1991-10-01,3.09686,0.28264,1.96,14.81,78.3,23.024445707788523,3.0926886141195986,-3.7047431939376874,3.1137930655388057
1991-11-01,2.92725,0.11303,2.03,15.6,69.1,19.644839067702556,3.153926316434741,-0.9463722397476393,3.4603310092205852
1991-12-01,2.68885,-0.12537,2.17,20.18,68.2,15.585106382978719,3.0686472278256494,-3.9866183440200764,3.6249713941506334
1992-01-01,3.01566,0.12536,2.1,18.95,67.5,25.891891891891895,2.8439334489156476,-6.996113270405324,3.9916272933436803
1992-02-01,3.63101,0.74071,1.89,18.2,68.8,12.159533073929962,2.8899984869117823,-7.4371025711915895,3.8076338042804414
1992-03-01,3.69658,0.80628,1.71,16.88,76.0,7.582938388625582,2.4684668412655375,-7.193229901269394,3.376255372607906
1992-04-01,3.64749,0.77707,1.73,16.48,77.2,5.72625698324023,2.019565478333929,-6.951116134501268,3.5610316977396916
1992-05-01,3.49757,0.62715,1.74,16.61,79.2,8.438818565400851,1.663176787316778,-4.124310194597736,3.6552594577526243
1992-06-01,3.52234,0.65192,1.79,14.43,80.4,6.716768435885401,1.238103762045406,1.0632014176018778,3.4835517212282507
1992-07-01,3.11547,0.3267,2.0,13.34,76.6,7.904583723105718,1.1263073209975882,8.896797153024917,3.713039443045929
1992-08-01,3.09105,0.30227,2.06,13.83,76.1,6.0869565217391175,1.3055141579731755,9.125586854460078,4.089236253895612
1992-09-01,3.14245,0.35368,2.2,13.4,75.6,6.9252077562326875,1.651315985573354,11.199319535015583,4.087125615475373
1992-10-01,3.04094,0.22536,2.25,16.31,73.3,5.175600739371533,1.8957769114014589,10.405129699795967,3.6694081136338985
1992-11-01,3.40259,0.58701,2.09,16.67,85.3,8.070500927643787,1.8125092853959357,2.866242038216571,3.43017190382775
1992-12-01,3.38368,0.5681,2.04,12.8,91.0,10.538426138978373,1.556847162090036,5.7491289198606355,3.2774345115293757
1993-01-01,3.1541,0.55806,2.07,13.36,89.3,2.490339201373981,1.1209038211285938,11.582089552238806,2.9388850638311093
1993-02-01,2.68366,0.08762,2.13,12.33,86.6,4.596704249783179,0.4264705882352837,14.486260454002387,3.100988484406897
1993-03-01,2.62154,0.0255,2.17,13.6,85.9,7.841409691629964,0.22914891741825372,17.59878419452887,3.3836970145801004
1993-04-01,2.48401,-0.08603,2.17,13.02,85.6,5.724350506384845,0.34120657705092317,15.97327664743393,3.4512838064697293
1993-05-01,2.63401,0.06396,2.17,12.9,80.3,4.063986165153488,1.1269346201377095,16.358679188124814,3.857536411559259
1993-06-01,2.56095,-0.00909,2.11,13.67,81.5,6.426056338028174,1.4439794895974467,10.25715955581532,4.38423923229474
1993-07-01,2.62572,0.20582,2.12,11.51,77.0,4.551365409622887,1.4172485930640244,3.867102396514155,4.701618561374632
1993-08-01,2.36695,-0.05294,1.92,11.47,77.3,5.30629853321829,1.3798987878074431,3.683785963968811,4.682611425865324
1993-09-01,2.11895,-0.30095,1.98,11.48,77.9,6.260794473229714,1.2286309122364392,-1.7083120856705714,4.479718601069038
1993-10-01,2.2386,-0.27195,1.98,11.83,82.7,8.69947275922669,0.9609206145218652,0.42238648363250864,4.378057666358326
1993-11-01,2.56987,0.05931,1.94,11.78,81.2,5.793991416309008,1.2724354297388052,10.216718266253878,4.444989674199551
1993-12-01,2.62829,0.11773,1.92,13.83,88.2,3.1640299750208323,1.4541419686395995,7.029104887424498,4.644002989538709
1994-01-01,2.81862,0.35864,1.9,12.57,94.3,4.985337243401755,1.6320084232692933,2.8357410379882264,5.107422735908673
1994-02-01,3.18116,0.72117,1.79,10.65,93.2,3.1509121061359835,1.7923561282764622,-1.043569006000522,4.833895816079736
1994-03-01,3.49592,1.03593,1.65,15.83,91.5,-0.4901960784313819,2.004865609520179,-2.1452571723959535,5.402507444751703
1994-04-01,4.26194,1.63997,1.55,23.87,92.6,-2.374010828821327,2.0520036349778614,-1.387797852841044,5.697577939707776
1994-05-01,4.47908,1.8571,1.44,14.11,92.8,-1.9941836310760297,1.5682737350519282,-0.5206977349648478,5.23039946069761
1994-06-01,4.27291,1.65094,1.55,12.72,91.2,-2.026468155500405,1.0777364629328323,3.6310628147362856,5.065421355894806
1994-07-01,4.41097,1.89776,1.5,14.36,89.0,-2.9021558872305064,1.3422428820453192,0.9963293130571538,5.410194509678901
1994-08-01,4.42586,1.91266,1.5,11.17,91.7,-1.8844735764031117,1.1608671677743265,0.5186721991701226,5.503584398306427
1994-09-01,4.4515,1.9383,1.52,11.86,91.5,-2.559934985778134,0.9819825039105501,0.18158236057068677,5.704198378454839
1994-10-01,4.87168,2.27439,1.46,15.44,92.7,-4.001616814874687,0.798449388144773,0.8675078864353258,5.947756568946749
1994-11-01,5.16598,2.56868,1.36,14.84,91.6,-4.624746450304251,0.49278118786202363,-2.1705822267619967,5.892086272417196
1994-12-01,5.21765,2.62035,1.29,16.69,95.1,-6.577885391444727,0.3424953230680705,-1.7188301693175978,6.041118623300701
1995-01-01,4.86738,2.35955,1.3,14.25,97.6,-6.264964086193137,0.503611614722721,0.2341311134235191,6.452393993368721
1995-02-01,4.49842,1.9906,1.38,11.73,95.1,-2.9742765273311877,0.4085507955232215,2.135512786712357,6.589144001317693
1995-03-01,4.23799,1.73016,1.5,11.65,90.3,0.6978653530377743,0.3160828711818553,5.520338087691479,5.882380818933708
1995-04-01,3.90887,1.42816,1.54,13.5,92.5,6.953924914675769,0.514175738948075,7.488050982474781,6.979476219535807
1995-05-01,3.5511,1.07039,1.57,12.14,89.8,8.859686307757531,0.9568007333562445,3.6901334729128488,7.414325356999374
1995-06-01,3.16488,0.68417,1.73,12.21,92.7,10.848459265512878,1.9945394453225962,0.48593350383632217,7.4525377811548665
1995-07-01,3.28064,0.73496,1.76,11.57,94.4,15.243381725021333,2.2705120119259403,1.7393561786085199,7.391622166434808
1995-08-01,3.49827,0.9526,1.7,13.56,96.2,12.150313152400827,2.9635367358062936,-0.5933952528379804,7.644592773798142
1995-09-01,3.21587,0.6702,1.73,11.29,88.9,15.054211843202658,3.327500645420378,-0.699119627136191,7.77910735180225
1995-10-01,2.9348,0.35177,1.71,13.95,90.2,15.957894736842103,3.7051918606319845,0.9382329945269774,7.495637099693253
1995-11-01,2.89587,0.31283,1.75,13.41,88.2,19.09825606125053,3.8053452626749307,0.02610284521011863,7.496791977326245
1995-12-01,2.67778,0.09475,1.78,11.11,91.0,24.190064794816422,4.10452042221201,-0.5220569042025613,7.145827847924857
1996-01-01,2.69403,0.1098,1.82,12.19,89.3,20.98765432098766,4.45252548390791,-1.9205813651700043,6.804822966047808
1996-02-01,2.92418,0.33995,1.82,12.65,88.5,23.363711681855847,4.9256425685549665,-4.749612803304071,7.050129245222547
1996-03-01,3.45574,0.87151,1.76,16.72,93.7,19.690175295556458,5.608547449228052,-11.113892365456813,6.969538390746122
1996-04-01,3.89155,1.04383,1.68,17.9,92.7,16.07499002792183,5.6727251943301304,-14.377470355731226,5.833766248061822
1996-05-01,4.06421,1.21649,1.56,16.07,89.4,14.953271028037385,5.260768401339311,-11.206461383139821,5.467328501574875
1996-06-01,4.24085,1.39314,1.49,16.86,92.4,12.985529322162993,4.891656569641301,-12.31865614660218,5.340071071714592
1996-07-01,4.20581,1.35669,1.48,13.78,94.7,5.150055576139323,4.756965857487239,-12.273539168155134,4.646621356454439
1996-08-01,4.0442,1.19508,1.54,18.76,95.3,7.930007446016374,4.3187517414321475,-11.549441993252007,4.275747763530879
1996-09-01,4.17895,1.32983,1.52,18.47,94.7,6.089162740123233,4.200327586685559,-15.488917861799212,4.3804510283021125
1996-10-01,4.01002,1.04547,1.54,17.05,96.5,9.513435003631088,4.411357724027232,-16.343919442292798,5.1457960791087665
1996-11-01,3.62331,0.65876,1.59,17.89,99.2,12.071428571428577,4.8399127047708435,-15.762004175365341,5.342485913194794
1996-12-01,3.66358,0.69902,1.59,17.93,96.9,9.600000000000009,5.210084033613449,-14.746785620572044,5.4959968396690595
1997-01-01,4.07542,1.18939,1.51,21.14,97.4,13.19493314567206,5.118013103429364,-19.026197406721344,5.678101537793001
1997-02-01,3.92,1.03397,1.52,19.58,99.7,11.450638012088632,5.038505652957559,-21.761517615176153,5.671419382129517
1997-03-01,4.25691,1.37088,1.49,20.89,100.0,11.171662125340598,4.727548889310795,-18.586313714446632,6.322633038910586
1997-04-01,4.27761,1.12446,1.45,20.84,101.4,7.319587628865976,4.84896016442653,-14.166185804962495,6.874158831943888
1997-05-01,4.16455,1.0114,1.49,19.87,103.2,14.634146341463428,4.8414923441880475,-15.889710062535546,7.330942264819362
1997-06-01,4.07162,0.91848,1.53,20.85,104.5,19.00910010111223,4.92948287441235,-10.507982583454279,7.626852796872319
1997-07-01,3.806,0.68621,1.53,21.0,107.1,30.267794221282585,4.998528270584157,-13.001745200698078,8.17558258218638
1997-08-01,4.01084,0.89106,1.52,22.29,104.4,26.698861676440156,5.699786324786338,-14.231220657277,8.249059714857054
1997-09-01,3.98778,0.86799,1.49,24.53,106.0,25.657669969251806,5.853359620610643,-9.626658438753488,8.32509185592427
1997-10-01,3.75182,0.63547,1.54,22.32,105.6,22.6790450928382,5.817960135708233,-12.314814814814811,7.891165046360582
1997-11-01,3.72689,0.61053,1.54,32.09,107.2,15.742511153601036,5.789043766962676,-10.470879801734823,8.317735905455548
1997-12-01,3.53999,0.42363,1.51,26.01,102.1,17.61345604569977,5.612004399518145,-8.925823330255467,8.306774639414073
1998-01-01,3.2754,0.1185,1.65,23.42,106.6,14.485545539322331,5.778959995827471,-3.888888888888886,8.665599613317765
1998-02-01,3.30944,0.15254,1.68,21.36,110.4,17.083458873154566,6.307360320307831,1.0391409767925186,9.047181367227775
1998-03-01,3.39347,0.23657,1.67,19.19,106.5,24.325980392156854,6.554957008184004,-0.6918021445866507,9.235238181808159
1998-04-01,3.50856,0.31608,1.69,23.37,108.7,33.301312840217754,6.7887541913850935,-3.4285714285714253,8.32015207217751
1998-05-01,3.46324,0.27076,1.65,19.34,106.5,21.80851063829785,7.076005348143566,-3.3457249070631856,8.125904199395828
1998-06-01,3.25679,0.06431,1.63,22.83,105.6,16.086094590767487,7.119815668202767,-8.336036328251694,7.793682221019038
1998-07-01,3.22075,-0.11329,1.69,18.0,105.2,15.12036786583717,7.133209307066957,-7.589434971581421,7.4266899057851
1998-08-01,2.8665,-0.46755,1.8,25.98,104.4,7.160359379254033,6.855511194218411,-10.605542251111865,8.187932022899446
1998-09-01,2.45982,-0.87422,2.28,36.48,100.9,1.1691136487221199,7.414864966902424,-12.564015022191855,8.114488459665449
1998-10-01,2.30257,-1.20209,2.65,43.48,97.4,1.189189189189177,7.9052175437717365,-9.644491376275965,8.985029469150984
1998-11-01,2.48808,-1.01658,2.51,27.26,102.7,13.931718061674015,8.264421639932262,-8.408304498269903,9.42861078500059
1998-12-01,2.19673,-1.30793,2.58,24.97,100.5,15.839179708580664,8.497607180936795,5.001689760054084,9.089554862746763
1999-01-01,2.389,-1.07556,2.57,26.17,103.9,21.66711919630737,8.549874266554912,-0.3060183611016787,8.237713045005846
1999-02-01,2.84759,-0.61697,2.39,27.67,108.1,14.66803911477097,8.239379784294076,-1.5769626328419495,7.184662898992333
1999-03-01,3.19748,-0.26707,2.3,28.37,105.7,12.247412518482005,7.73643147072407,0.06966213862764636,6.660256268802178
1999-04-01,2.9771,-0.50283,2.3,22.06,104.6,12.827288013451831,7.758079319839628,-0.4524886877828038,6.746790236041522
1999-05-01,3.45787,-0.02206,2.18,24.15,106.8,13.415817564289178,7.725002401306336,-1.1888111888111785,6.447916034016732
1999-06-01,3.93695,0.45702,2.12,26.62,107.3,12.881190534276655,7.741210774121066,-2.1939136588818298,6.8258972928040285
1999-07-01,3.71507,0.11279,2.16,19.69,106.0,12.805451127819545,7.888101241733647,-5.463096960926183,6.804953395393865
1999-08-01,4.04345,0.44117,2.21,25.59,104.5,16.539634146341452,7.661929198098716,-1.990049751243772,6.227455477417165
1999-09-01,3.85341,0.25113,2.28,22.93,107.2,21.338349905939257,7.055322539072573,0.23428348301444135,6.294702174848732
1999-10-01,3.98844,0.17898,2.27,24.93,103.2,18.215811965811966,6.611109821490757,3.1164783794312534,5.753652295606293
1999-11-01,3.9705,0.16105,2.12,22.09,107.2,13.798936684388586,6.101320572401403,17.37816395919909,5.248893605582627
1999-12-01,4.39859,0.58913,1.91,22.23,105.4,12.066154204518975,6.026602066002362,-5.632442870936593,6.265826464893376
2000-01-01,4.55294,0.86402,1.67,24.21,112.0,6.203972327605456,6.009538950715432,-3.4447476125511467,6.882620773566406
2000-02-01,4.35599,0.66708,1.77,23.45,111.3,2.8052064631956863,5.763929685028679,-0.9752699407871823,7.635206121505811
2000-03-01,3.81265,0.12373,2.11,21.64,107.1,2.9198682766191197,6.296530253124555,4.385659589279478,8.276913986498968
2000-04-01,3.72114,-0.15711,2.41,24.03,109.2,0.40451351926760193,6.86779934549695,0.13986013986013734,8.901569441678859
2000-05-01,4.0604,0.18214,2.46,25.88,110.7,-2.8663101604278096,6.009674327366743,-1.0261854210898869,9.827127891999353
2000-06-01,3.55187,-0.32638,2.38,22.36,106.4,-0.043224551545284484,5.8917480035492575,-0.4341534008682979,9.93012131958897
2000-07-01,3.56553,-0.13652,2.3,19.83,108.3,-3.832534888564876,5.642280724963622,9.337925755836185,10.351044887598636
2000-08-01,3.23553,-0.46652,2.43,20.55,107.3,0.8066274253324623,5.860258747556402,9.957048028114013,10.350245827748772
2000-09-01,3.26907,-0.43298,2.55,17.53,106.8,0.0,6.2707932060934946,6.93416439423451,10.102299587237894
2000-10-01,3.21333,-0.49028,2.6,21.23,105.8,-4.247627654767272,6.068325821412235,3.4000755572346053,9.118903486229012
2000-11-01,3.08547,-0.61814,2.56,24.28,107.6,-11.424930983223614,5.876230539051996,-13.099452848406823,8.522876306900272
2000-12-01,2.66585,-1.03776,2.78,27.48,98.4,-16.732488048222816,6.216455068652582,-9.276944065484305,8.019126525473673
2001-01-01,2.59447,-0.94821,2.77,29.99,94.7,-16.558100441269175,6.658668266346712,-4.097492052278351,7.969616205230912
2001-02-01,2.31293,-1.22975,2.77,21.66,90.6,-16.044531761624103,7.182379456942067,-6.612733028491036,7.49514828713429
2001-03-01,2.27889,-1.26379,2.95,28.08,91.5,-26.02389078498294,7.708470403463719,-12.670890296765592,6.469750766019056
2001-04-01,2.47777,-1.01582,2.93,31.21,88.4,-26.84478371501272,7.789756281723226,-8.17039106145251,5.905226140666708
2001-05-01,2.84434,-0.64925,2.68,24.2,92.0,-19.577185641929074,8.024055344113389,-6.864497676081516,5.252094961547127
2001-06-01,2.57431,-0.91928,2.69,21.59,92.6,-23.394594594594597,8.519775431540122,-1.017441860465118,4.348685275217301
2001-07-01,2.54028,-0.61481,2.73,18.76,92.4,-25.384448776261635,8.742929893765773,-5.425271263563181,3.609747324594781
2001-08-01,2.33119,-0.82389,2.88,20.56,91.5,-27.270761245674734,8.805892727461352,-5.007102272727282,3.0340443506757797
2001-09-01,2.09698,-1.0581,3.3,25.85,81.8,-34.374307862679956,10.298024838835907,-0.7650273224043769,4.173400698556318
2001-10-01,1.9413,-1.1903,3.34,32.32,82.7,-27.77253421425201,9.701523176089012,3.54402630617463,3.83210626106516
2001-11-01,1.91925,-1.21235,3.16,32.31,83.9,-22.944138096379763,10.340378471368883,4.851851851851863,4.116808296900909
2001-12-01,2.30768,-0.82393,2.96,25.77,88.8,-18.422366450324525,10.410536355703481,3.8345864661654128,4.109767287824417
2002-01-01,2.42989,-0.64031,2.83,22.71,93.0,-18.282548476454284,9.695886228507167,1.6206261510128828,2.9442100203841637
2002-02-01,2.36119,-0.709,2.98,21.12,90.7,-18.928757150286014,9.433736620756994,6.026365348399243,3.0854826859780804
2002-03-01,2.84362,-0.22658,2.83,19.96,95.7,-6.343713956170715,8.419870342272763,12.829324169530354,3.1719417773628855
2002-04-01,2.72486,-0.33708,2.82,18.73,93.0,-9.85507246376811,7.065301992528017,11.825095057034218,2.930181655953934
2002-05-01,2.62357,-0.43836,2.93,20.06,96.9,-17.387732749178532,7.614894983746323,16.199616122840688,2.638535013877852
2002-06-01,2.67194,-0.39,3.02,23.37,92.4,-20.06773920406435,7.204215972047945,15.455212922173288,3.296856792095859
2002-07-01,2.45043,-0.48614,3.25,27.11,88.1,-26.879535558780844,7.408544777551729,18.874907475943736,3.801111251451239
2002-08-01,1.90328,-1.03329,3.32,36.95,87.6,-24.650609574784422,7.523026754896156,17.12149532710281,5.045828067815661
2002-09-01,1.62521,-1.31136,3.53,39.97,86.1,-18.89976375295308,5.736373312419474,13.913362701908971,4.546846426126283
2002-10-01,1.75217,-0.92997,3.79,34.12,80.6,-22.86834367853643,6.79640718562875,12.597035991531413,6.673856297150693
2002-11-01,2.0298,-0.65234,3.57,29.3,84.2,-21.87305538270069,6.876774876106695,11.833274461321096,7.269704386208242
2002-12-01,2.06609,-0.61604,3.42,27.46,86.7,-23.929008567931454,6.227139890087674,15.532223026792202,7.725374682290642
2003-01-01,2.08922,-0.48252,3.3,25.39,82.4,-24.03697996918337,6.430938821849064,20.29720913374411,8.44324725013652
2003-02-01,2.10201,-0.46973,3.16,31.02,79.9,-26.71584348941629,6.520472096750685,26.785079928952026,8.987383932343684
2003-03-01,2.06581,-0.50592,3.14,30.43,77.6,-29.279556650246295,6.65915452001018,21.48900169204737,9.270129490498835
2003-04-01,2.48399,-0.08531,2.89,28.36,86.0,-22.218649517684884,7.331479563091792,15.810948656919411,10.014063123193417
2003-05-01,2.04368,-0.52561,2.81,21.59,92.1,-15.644680145840251,7.904494890114866,8.42418235877107,11.079057824821682
2003-06-01,1.85787,-0.71143,2.86,20.85,89.7,-5.36723163841808,8.083190780588811,13.10015898251191,11.31036004370527
2003-07-01,2.45769,-0.28888,2.64,19.46,90.9,6.550218340611358,8.098352453450563,10.95890410958904,11.54169190007719
2003-08-01,3.14178,0.39521,2.56,20.75,89.3,5.011838989739537,8.316188989784346,12.03319502074689,10.332084435373812
2003-09-01,3.01543,0.26886,2.52,19.02,87.7,13.441531419059505,7.371302428256055,15.952304221720915,9.026972806379717
2003-10-01,2.98452,0.24287,2.44,21.07,89.6,17.492587886488774,6.360386879730862,18.77154497022877,6.864706407981513
2003-11-01,3.20568,0.46403,2.36,16.55,93.7,11.628833134209483,5.5138758639852625,19.67782691092861,6.15536317828802
2003-12-01,3.17682,0.43517,2.33,16.77,92.6,15.768302493966214,5.095596504887956,22.18740206831713,6.092598108461855
2004-01-01,3.00655,0.34723,2.29,18.22,103.8,21.217038539553744,4.643600640022005,22.62729737872855,6.350786622753302
2004-02-01,2.83325,0.17393,2.19,17.11,94.4,30.722100656455133,4.676492715956493,15.942841131969754,7.130196387325305
2004-03-01,2.27156,-0.38776,2.28,14.44,95.8,26.425772747061394,4.93132944825001,12.785515320334252,7.9385098443618185
2004-04-01,2.58377,-0.05813,2.11,16.65,94.2,20.132286068623383,4.96808168379701,19.40692894891367,8.032653563924686
2004-05-01,3.00927,0.36737,2.03,16.62,90.2,9.941060903732811,5.203252032520322,22.882388787324803,7.406282577967738
2004-06-01,2.86472,0.22282,2.05,16.3,95.6,6.417910447761188,4.593162734906042,7.899915659263423,7.260686147437068
2004-07-01,2.74199,0.18361,2.12,15.2,96.7,3.427719821162456,3.9987436770588802,10.1010101010101,7.0322728419828895
2004-08-01,2.57545,0.01708,2.18,15.37,95.9,2.1796317173994773,3.448332323612724,13.418803418803416,7.543438620075893
2004-09-01,2.1682,-0.39017,2.14,14.91,94.2,1.724137931034475,4.480336847645527,11.311839911061705,8.697601512123088
2004-10-01,2.08969,-0.53177,2.11,12.75,91.7,-1.0454217736121096,5.101973575829466,6.939313984168871,9.840915777733672
2004-11-01,1.97351,-0.64795,2.01,16.27,92.8,1.9621833749553952,5.444640123771749,10.979150171549223,10.042661119967256
2004-12-01,1.96429,-0.65716,1.92,12.97,97.1,1.8415566365531433,5.7737899242673585,12.695562964862784,10.10372326944311
2005-01-01,1.95895,-0.77287,1.8,14.08,95.5,-3.915662650602403,5.7347670250896154,8.624078624078635,11.599700661133937
2005-02-01,1.86112,-0.8707,1.65,12.03,94.1,-3.3478406427854046,5.181397932014575,2.4649589173513675,11.055220556433998
2005-03-01,2.14706,-0.58476,1.56,12.04,92.6,-2.100550964187331,4.715816823644037,4.569029389972834,10.819971775263282
2005-04-01,2.145,-0.41755,1.71,14.09,87.7,-5.609084652443219,4.2409382007065455,6.786328989427104,10.3700560001583
2005-05-01,1.94836,-0.6142,1.87,15.12,86.9,-1.0364546104360217,3.2393760257493076,6.422018348623837,10.737493972023326
2005-06-01,1.96541,-0.59714,1.86,12.36,96.0,-1.33239831697054,3.722463802742859,9.927045336112549,10.532109612239292
2005-07-01,2.09667,-0.42088,1.77,11.4,96.5,2.1974063400576282,4.011889434616056,9.76044852191642,11.489775935621438
2005-08-01,2.12694,-0.39061,1.7,12.08,89.1,3.604266274365586,4.093132211652617,6.631499623210235,11.872505446914206
2005-09-01,2.27595,-0.2416,1.83,13.15,76.9,0.10818608005769281,4.0615210238811095,9.338327091136067,11.395423375360592
2005-10-01,2.38825,-0.17987,1.84,12.46,74.2,-2.2222222222222254,4.1411307387263285,12.533925487293374,11.396239981551016
2005-11-01,2.422,-0.14612,1.85,14.85,81.6,-2.099370188943306,3.9694060719581703,11.74791914387634,10.98077831500326
2005-12-01,2.3552,-0.21292,1.85,11.24,91.5,-2.6612077789150423,4.098245832490233,8.488848429676832,10.936984157441977
2006-01-01,2.30945,-0.39978,1.82,11.14,91.2,-0.5572971090212486,4.654019592598346,15.381135489708209,9.657360880111243
2006-02-01,2.46368,-0.24555,1.7,12.36,86.7,-1.939729823346037,4.904412107282052,29.693396226415093,9.394100531610938
2006-03-01,2.62105,-0.08818,1.69,11.54,88.9,-0.10552233556102575,4.979529805843308,31.081719414265475,8.94669556359975
2006-04-01,2.6923,0.00928,1.69,11.57,87.4,2.8071454611738877,5.338904363973995,28.275385678102705,9.845702606625562
2006-05-01,2.66611,-0.0169,1.64,12.54,79.1,-0.10834236186348933,5.165761205087049,42.28797763280523,10.082944300090446
2006-06-01,2.46793,-0.21509,1.67,14.52,84.9,-5.152807391613356,5.225897601277674,60.08532827684285,10.102384868944903
2006-07-01,2.4021,-0.11484,1.67,13.05,84.7,-6.133239337328167,5.351712334000647,38.42581843510566,9.299369865553576
2006-08-01,2.04559,-0.47135,1.71,15.05,82.0,-4.08235711750089,5.303732988671794,49.28150765606598,9.09749155177173
2006-09-01,1.78905,-0.72789,1.71,11.96,85.4,-0.36023054755043304,5.178282377501775,44.46220598310118,8.740913792895677
2006-10-01,1.95772,-0.59289,1.69,12.57,93.6,6.631892697466468,5.386734094911261,31.15544836658628,10.504728290586197
2006-11-01,1.98272,-0.56789,1.6,11.51,92.1,3.752680486061477,5.655476819601257,24.664822302617573,10.852795414769245
2006-12-01,1.94659,-0.60402,1.66,11.66,91.7,3.0844724851033956,5.86722488038276,31.697084119991594,10.860883234070373
2007-01-01,2.10252,-0.46142,1.58,12.04,96.9,2.732049036777573,5.767944965306149,23.465987061360494,10.747306093014153
2007-02-01,2.00143,-0.56251,1.56,10.31,91.3,3.9915224302366825,5.621104679565958,14.784506273867981,10.636584469981948
2007-03-01,2.05486,-0.50908,1.71,15.82,88.4,-0.4929577464788615,5.8940837580323535,19.783783783783782,9.313952310516216
2007-04-01,2.27447,-0.21422,1.7,14.53,87.1,3.0851063829787195,6.375789628323791,17.55519655358104,8.692265897350392
2007-05-01,2.48223,-0.00646,1.64,13.51,88.3,7.302964569775838,6.472064456478677,11.24938595054854,8.091634283583904
2007-06-01,2.91836,0.42966,1.6,12.78,85.3,10.640689396777825,6.363012798995937,-1.2585134734971914,8.442461393160228
